Date;Leads;Deals Closed;Conversion Rate;Revenue (k$);Usage (GB);Churn Rate (%)
31/01/2021;145;31;0.2138;58.58;5102;4.21
28/02/2021;159;45;0.2830;64.15;5066;4.89
31/03/2021;136;45;0.3309;71.92;5015;5.50
30/04/2021;154;40;0.2597;62.46;4931;5.87
31/05/2021;163;36;0.2209;69.35;4954;3.80
30/06/2021;170;44;0.2588;72.90;5100;4.50
31/07/2021;180;46;0.2556;74.35;5300;4.40
31/08/2021;150;38;0.2533;68.20;4950;4.80
30/09/2021;160;42;0.2625;70.45;5150;4.60
31/10/2021;190;50;0.2632;78.20;5300;4.10
30/11/2021;205;55;0.2683;82.70;5550;4.00
31/12/2021;220;60;0.2727;85.95;5800;3.95
31/01/2022;240;65;0.2708;90.10;5900;4.30
28/02/2022;250;70;0.2800;95.40;6100;4.25
31/03/2022;260;75;0.2885;103.20;6400;4.00
30/04/2022;270;78;0.2889;108.50;6600;3.95
31/05/2022;290;85;0.2931;115.70;6900;3.80
30/06/2022;305;88;0.2885;118.90;7150;3.75
31/07/2022;320;92;0.2875;124.30;7300;3.70
31/08/2022;280;88;0.3143;128.00;7000;3.65
30/09/2022;350;100;0.2857;135.50;7500;3.60
31/10/2022;360;105;0.2917;142.00;7800;3.55
30/11/2022;375;110;0.2933;148.50;8100;3.50
31/12/2022;390;115;0.2949;155.00;8300;3.45
31/01/2023;400;120;0.3000;160.50;8500;3.40
28/02/2023;410;122;0.2976;170.20;8800;3.35
31/03/2023;430;130;0.3023;180.30;9200;3.30
30/04/2023;445;135;0.3034;188.50;9500;3.25
31/05/2023;465;140;0.3011;195.80;9900;3.20
30/06/2023;480;145;0.3021;205.10;10150;3.15
31/07/2023;500;150;0.3000;215.50;10300;3.10
31/08/2023;520;155;0.2981;225.90;10550;3.05
30/09/2023;540;160;0.2963;235.80;10800;3.00
31/10/2023;570;165;0.2895;248.10;11200;2.95
30/11/2023;590;175;0.2966;260.50;11500;2.90
31/12/2023;620;180;0.2903;270.00;11850;2.85
31/01/2024;650;190;0.2923;285.10;12300;2.80
29/02/2024;680;200;0.2941;298.50;12700;2.75
31/03/2024;710;205;0.2887;310.40;13100;2.70
30/04/2024;730;210;0.2877;320.50;13450;2.65
31/05/2024;760;220;0.2895;335.10;13850;2.60
30/06/2024;790;230;0.2911;350.50;14200;2.55
31/07/2024;810;235;0.2901;360.00;14500;2.50
31/08/2024;830;240;0.2892;375.20;14900;2.45
30/09/2024;850;245;0.2882;390.50;15250;2.40
